application_key,fixture,status,old_weighted_score,new_weighted_score,old_final_score,new_final_score,old_tier,new_tier,old_lane,new_lane,old_approval,new_approval,old_floors,new_floors,factor_deltas,sentinel_acquisitions,sentinel_removals,classification,explanation,expected
91b0b6cc9d8b016b,False,edd_required,28.5,28.5,55.0,55.0,HIGH,HIGH,EDD,EDD,dual_control_required,blocked,"[""floor_rule_declared_pep""]","[""floor_rule_declared_pep""]",{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8"",""stale:unmapped_sector:7f1b438f89c0""]",[],BLOCKED,new fail-closed unresolved sentinel; approved compliance-review classification,True
edd78cba61d5af20,False,submitted_to_compliance,35.2,35.2,55.0,55.0,HIGH,HIGH,EDD,EDD,dual_control_required,blocked,"[""floor_rule_declared_pep"",""screening_needs_more_information_floor""]","[""floor_rule_declared_pep"",""screening_needs_more_information_floor""]",{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:d2e8adaee888"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8"",""stale:unmapped_sector:5f08b280ee06""]",[],BLOCKED,new fail-closed unresolved sentinel; approved compliance-review classification,True
e535d751158cd71a,False,draft,28.0,28.0,28.0,28.0,LOW,LOW,Fast Lane,Fast Lane,blocked,blocked,[],[],{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:069855105206"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8"",""stale:unmapped_ownership:1bf83192bce9"",""stale:unmapped_sector:c96391dfd61c""]",[],READY_AFTER_DATA_CLEANUP,new fail-closed unresolved sentinel,True
b9c29482ccf1b1c7,False,draft,19.0,19.0,19.0,19.0,LOW,LOW,Fast Lane,Fast Lane,blocked,blocked,[],[],{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8"",""stale:unmapped_sector:7f1b438f89c0""]",[],BLOCKED,new fail-closed unresolved sentinel,True
14182d11babf1fb4,True,edd_required,50.0,48.0,70.0,70.0,VERY_HIGH,VERY_HIGH,EDD,EDD,dual_control_required,blocked,"[""floor_rule_sanctioned_country:iran""]","[""floor_rule_sanctioned_country:iran""]","{""monthly_volume"":{""new"":1.0,""old"":2.0}}","[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:d2e8adaee888"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_ownership:311e036a804d"",""stale:unmapped_sector:cd8bf2919454""]",[],BLOCKED,approved mapping/parser change: monthly_volume; new fail-closed unresolved sentinel; approved compliance-review classification,True
ef1e49a533e5bf2f,False,draft,59.7,67.0,70.0,70.0,VERY_HIGH,VERY_HIGH,EDD,EDD,blocked,blocked,"[""floor_rule_sanctioned_country:british virgin islands""]","[""floor_rule_sanctioned_country:british virgin islands""]","{""complexity"":{""new"":4.0,""old"":3.0},""introduction"":{""new"":3.0,""old"":1.0},""ownership"":{""new"":3.0,""old"":2.0}}","[""stale:unmapped_entity_type:5930dc65af93""]",[],BLOCKED,"approved mapping/parser change: complexity, introduction, ownership; new fail-closed unresolved sentinel",True
8b3c4c5bd37f9add,False,pricing_review,18.7,16.7,18.7,16.7,LOW,LOW,Fast Lane,Fast Lane,blocked,blocked,[],[],"{""monthly_volume"":{""new"":1.0,""old"":2.0}}","[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_sector:7f1b438f89c0""]",[],BLOCKED,approved mapping/parser change: monthly_volume; new fail-closed unresolved sentinel,True
bd9070b0bdd90a42,True,pricing_review,28.7,28.7,55.0,55.0,HIGH,HIGH,EDD,EDD,blocked,blocked,"[""floor_rule_edd_routing""]","[""floor_rule_edd_routing""]",{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:069855105206"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_ownership:1bf83192bce9"",""stale:unmapped_sector:a24dd1d3436f""]",[],BLOCKED,new fail-closed unresolved sentinel,True
d44581ad434164dc,False,kyc_documents,17.3,15.3,17.3,15.3,LOW,LOW,Fast Lane,Fast Lane,blocked,blocked,[],[],"{""monthly_volume"":{""new"":1.0,""old"":2.0}}",[],[],READY,approved mapping/parser change: monthly_volume,True
ce352209975e9789,True,pricing_review,18.0,18.0,55.0,55.0,HIGH,HIGH,EDD,EDD,blocked,blocked,"[""floor_rule_edd_routing""]","[""floor_rule_edd_routing""]",{},"[""stale:unmapped_complexity:9b4aa98957a8"",""stale:unmapped_monthly_volume:42a2fd8c99f6""]",[],BLOCKED,new fail-closed unresolved sentinel,True
